model,N,price,runtime_ms,boundary_m1,boundary_m2
NIG,32,33.65485990039762,3.002166748046875,-2.1435610782313805,-2.1435610782313805
NIG,64,32.26443223597155,3.9987564086914062,-2.175596767629709,-2.175596767629709
NIG,128,32.6237944067212,14.82081413269043,-2.191614612328874,-2.191614612328874
NIG,256,32.34903464190036,34.59358215332031,-2.1996235346784556,-2.1996235346784556
NIG,512,32.18866046345786,84.81121063232422,-2.203627995853247,-2.203627995853247
