d,N0,v0,time0_ms,N1,v1,time1_ms,N2,v2,time2_ms,N3,v3,time3_ms,v_AM
0,1,0.0,1.0006427764892578,2,54.81686121767795,0.9996891021728516,4,37.7288724983598,1.013040542602539,8,30.74449229470341,1.001119613647461,29.631747809540993
1,2,54.81686121767795,1.0013580322265625,4,37.7288724983598,1.0006427764892578,8,30.74449229470341,1.0309219360351562,16,27.220713063430633,2.0067691802978516,23.515305776929942
2,4,37.7288724983598,0.99945068359375,8,30.74449229470341,2.0017623901367188,16,27.220713063430633,1.0006427764892578,32,25.260101079352072,3.5064220428466797,23.09431224542405
3,8,30.74449229470341,1.0077953338623047,16,27.220713063430633,2.031564712524414,32,25.260101079352072,1.9774436950683594,64,24.553633492054857,5.006551742553711,24.152970173386677
