model,barrier_type,monitoring_freq,N,price,runtime_ms
CGMY,up-and-out,12,1024,26.17416029444317,32.02056884765625
CGMY,up-and-out,12,2048,26.14744555160011,117.32673645019531
CGMY,up-and-out,12,4096,26.134090279463763,429.4300079345703
CGMY,up-and-out,12,8192,26.127413168457842,1503.401517868042
CGMY,up-and-out,12,16384,26.124074744230125,5779.72412109375
CGMY,up-and-out,252,1024,26.17416029444317,350.05736351013184
CGMY,up-and-out,252,2048,26.14744555160011,1019.8731422424316
CGMY,up-and-out,252,4096,26.134090279463763,3030.8837890625
CGMY,up-and-out,252,8192,26.127413168457842,7032.716751098633
CGMY,up-and-out,252,16384,26.124074744230125,19694.88215446472
